YEAR,TGL,BLP,BLT,FRM,PAR,TIM,PAY
1981,35,39.7,26.7,34.1,27.8,33.7,20.8
1982,81.2,72.2,57.6,70,41.2,51.7,32.9
1983,55.2,83.6,57.1,65.1,41.2,49.2,34.9
1984,62,101.2,55.7,65.6,43.4,41,35.4
1985,44.4,56.4,40.4,46.8,35.1,44,28.5
1986,69,92.8,63.6,67.7,38.6,54.6,31.9
1987,29.4,47.1,34.3,29.5,23.4,24.9,22.8
1988,35.5,40.9,29.5,32,22.2,21,21.9
1989,49.9,51.9,39.4,46.9,31,27.8,20.4
1990,34.9,41.8,33.2,34.8,24.3,36.1,20.9
1991,40.2,45.7,34.8,42.7,30.3,30.9,22.2
1992,34.1,32.2,26,34.9,23.5,23,19.7
1993,59.3,77.6,57.4,62.3,40.4,51.1,32
1994,34.7,38.2,31.6,41,27.5,28.4,21.3
1995,49.9,71.4,46.3,65.6,42.3,48.1,35.6
1996,51.7,49.2,36.7,47,32.1,30.5,23.6
1997,68.9,78.8,52.8,61.5,38,45.4,29
1998,47.4,72.7,44.8,66.7,37.5,41.3,36.1
1999,49.6,55.1,38.3,51.3,36.3,36.9,26.3
2000,37.4,45.3,31.4,41.9,25.8,27,20
2001,34.5,42.5,28.8,43,25,24.9,19.8
2002,37.2,47.3,34.7,46.2,27.9,27.5,18
2003,40.6,37.7,27.6,34.6,23.8,24.7,23.1
2004,40.6,52.2,35.3,52.7,30.1,30.1,24.9
2005,46.1,82.6,59.2,66,37,54.9,31.9
2006,52.8,72.5,53.3,62.3,38,39.3,25.6
2007,31.1,41.6,31.2,41.4,25.7,25,18.3
2008,45.1,51.4,36.7,48.9,31.6,31.2,25.7
2009,52.7,72.7,51.3,58.6,34,43.7,28.1
2010,41.8,47.4,31.6,44.1,31.3,35,24.2
2011,70,82.6,63.7,74,46.9,61.5,33.8
2012,37.9,42.7,32.5,31.7,21.8,26.1,19.5
2013,33.2,35.3,23.9,38.1,28.6,24.3,19.2
2014,52.3,47.8,37.5,41.5,30.6,27.6,20.4
2015,39.7,41.9,31.3,42.8,26.3,23.2,17.7
2016,44.5,44.1,33,40.9,26.7,29.1,19.9
2017,79.9,76.1,61.4,59.7,35.7,49.7,25
2018,39.7,29.7,26.3,27.9,23,22.5,16.6
2019,47.8,72,50.6,60.8,36.9,49.9,34.3
2020,43.2,33.5,24,33,23.8,21,16
